;$T_{umg}$ in °C;$P_{el}$ in kW
101;-4.1263103;1.2439651
102;-3.452627;1.2439651
103;-2.7789433;1.2439651
104;-2.1052597;1.2439651
105;-1.4315761;1.2439651
106;-0.75789255;1.2439651
107;-0.08420895;1.2439651
108;0.5894746;1.2439651
109;1.2631582;1.2439651
110;1.9368418;1.2439651
111;2.6105254;1.2439651
112;3.284209;1.2439651
113;3.9578924;1.2439651
114;4.631576;1.2439651
115;5.3052597;1.2439651
116;5.9789433;1.2439651
117;6.652627;1.2439651
118;7.3263106;1.2439651
119;7.999994;1.2439651
120;-4.799994;1.4677908
121;-4.1263103;1.4677908
122;-3.452627;1.4677908
123;-2.7789433;1.4677908
124;-2.1052597;1.4677908
125;-1.4315761;1.4677908
126;-0.75789255;1.4677908
127;-0.08420895;1.4677908
128;0.5894746;1.4677908
129;1.2631582;1.4677908
130;1.9368418;1.4677908
131;2.6105254;1.4677908
132;3.284209;1.4677908
133;3.9578924;1.4677908
134;4.631576;1.4677908
135;5.3052597;1.4677908
136;5.9789433;1.4677908
137;6.652627;1.4677908
138;7.3263106;1.4677908
139;7.999994;1.4677908
140;-4.799994;1.6916164
141;-4.1263103;1.6916164
142;-3.452627;1.6916164
143;-2.7789433;1.6916164
144;-2.1052597;1.6916164
145;-1.4315761;1.6916164
146;-0.75789255;1.6916164
147;-0.08420895;1.6916164
148;0.5894746;1.6916164
149;1.2631582;1.6916164
150;1.9368418;1.6916164
151;2.6105254;1.6916164
152;3.284209;1.6916164
153;3.9578924;1.6916164
154;4.631576;1.6916164
155;5.3052597;1.6916164
156;5.9789433;1.6916164
157;6.652627;1.6916164
158;7.3263106;1.6916164
159;7.999994;1.6916164
160;-4.799994;1.9154421
161;-4.1263103;1.9154421
162;-3.452627;1.9154421
163;-2.7789433;1.9154421
164;-2.1052597;1.9154421
165;-1.4315761;1.9154421
166;-0.75789255;1.9154421
167;-0.08420895;1.9154421
168;0.5894746;1.9154421
169;1.2631582;1.9154421
170;1.9368418;1.9154421
171;2.6105254;1.9154421
172;3.284209;1.9154421
173;3.9578924;1.9154421
174;4.631576;1.9154421
175;5.3052597;1.9154421
176;5.9789433;1.9154421
177;6.652627;1.9154421
178;7.3263106;1.9154421
179;7.999994;1.9154421
180;-4.799994;2.1392677
181;-4.1263103;2.1392677
182;-3.452627;2.1392677
183;-2.7789433;2.1392677
184;-2.1052597;2.1392677
185;-1.4315761;2.1392677
186;-0.75789255;2.1392677
187;-0.08420895;2.1392677
188;0.5894746;2.1392677
189;1.2631582;2.1392677
190;1.9368418;2.1392677
191;2.6105254;2.1392677
192;3.284209;2.1392677
193;3.9578924;2.1392677
194;4.631576;2.1392677
195;5.3052597;2.1392677
196;5.9789433;2.1392677
197;6.652627;2.1392677
198;7.3263106;2.1392677
199;7.999994;2.1392677
200;-4.799994;2.3630934
201;-4.1263103;2.3630934
202;-3.452627;2.3630934
203;-2.7789433;2.3630934
204;-2.1052597;2.3630934
205;-1.4315761;2.3630934
206;-0.75789255;2.3630934
207;-0.08420895;2.3630934
208;0.5894746;2.3630934
209;1.2631582;2.3630934
210;1.9368418;2.3630934
211;2.6105254;2.3630934
212;3.284209;2.3630934
213;3.9578924;2.3630934
214;4.631576;2.3630934
215;5.3052597;2.3630934
216;5.9789433;2.3630934
217;6.652627;2.3630934
218;7.3263106;2.3630934
219;7.999994;2.3630934
220;-4.799994;2.5869188
221;-4.1263103;2.5869188
222;-3.452627;2.5869188
223;-2.7789433;2.5869188
224;-2.1052597;2.5869188
225;-1.4315761;2.5869188
226;-0.75789255;2.5869188
227;-0.08420895;2.5869188
228;0.5894746;2.5869188
229;1.2631582;2.5869188
230;1.9368418;2.5869188
231;2.6105254;2.5869188
232;3.284209;2.5869188
233;3.9578924;2.5869188
234;4.631576;2.5869188
235;5.3052597;2.5869188
236;5.9789433;2.5869188
237;6.652627;2.5869188
238;7.3263106;2.5869188
239;7.999994;2.5869188
240;-4.799994;2.8107445
241;-4.1263103;2.8107445
242;-3.452627;2.8107445
243;-2.7789433;2.8107445
244;-2.1052597;2.8107445
245;-1.4315761;2.8107445
246;-0.75789255;2.8107445
247;-0.08420895;2.8107445
248;0.5894746;2.8107445
249;1.2631582;2.8107445
250;1.9368418;2.8107445
251;2.6105254;2.8107445
252;3.284209;2.8107445
253;3.9578924;2.8107445
254;4.631576;2.8107445
255;5.3052597;2.8107445
256;5.9789433;2.8107445
257;6.652627;2.8107445
258;7.3263106;2.8107445
259;7.999994;2.8107445
260;-4.799994;3.0345702
261;-4.1263103;3.0345702
262;-3.452627;3.0345702
263;-2.7789433;3.0345702
264;-2.1052597;3.0345702
265;-1.4315761;3.0345702
266;-0.75789255;3.0345702
267;-0.08420895;3.0345702
268;0.5894746;3.0345702
269;1.2631582;3.0345702
270;1.9368418;3.0345702
271;2.6105254;3.0345702
272;3.284209;3.0345702
273;3.9578924;3.0345702
274;4.631576;3.0345702
275;5.3052597;3.0345702
276;5.9789433;3.0345702
277;6.652627;3.0345702
278;7.3263106;3.0345702
279;7.999994;3.0345702
280;-4.799994;3.258396
281;-4.1263103;3.258396
282;-3.452627;3.258396
283;-2.7789433;3.258396
284;-2.1052597;3.258396
285;-1.4315761;3.258396
286;-0.75789255;3.258396
287;-0.08420895;3.258396
288;0.5894746;3.258396
289;1.2631582;3.258396
290;1.9368418;3.258396
291;2.6105254;3.258396
292;3.284209;3.258396
293;3.9578924;3.258396
294;4.631576;3.258396
295;5.3052597;3.258396
296;5.9789433;3.258396
297;6.652627;3.258396
298;7.3263106;3.258396
299;7.999994;3.258396
300;-4.799994;3.4822214
301;-4.1263103;3.4822214
302;-3.452627;3.4822214
303;-2.7789433;3.4822214
304;-2.1052597;3.4822214
305;-1.4315761;3.4822214
306;-0.75789255;3.4822214
307;-0.08420895;3.4822214
308;0.5894746;3.4822214
309;1.2631582;3.4822214
310;1.9368418;3.4822214
311;2.6105254;3.4822214
312;3.284209;3.4822214
313;3.9578924;3.4822214
314;4.631576;3.4822214
315;5.3052597;3.4822214
316;5.9789433;3.4822214
317;6.652627;3.4822214
318;7.3263106;3.4822214
319;7.999994;3.4822214
320;-4.799994;3.706047
321;-4.1263103;3.706047
322;-3.452627;3.706047
323;-2.7789433;3.706047
324;-2.1052597;3.706047
325;-1.4315761;3.706047
326;-0.75789255;3.706047
327;-0.08420895;3.706047
328;0.5894746;3.706047
329;1.2631582;3.706047
330;1.9368418;3.706047
331;2.6105254;3.706047
332;3.284209;3.706047
333;3.9578924;3.706047
334;4.631576;3.706047
335;5.3052597;3.706047
336;5.9789433;3.706047
337;6.652627;3.706047
338;7.3263106;3.706047
339;7.999994;3.706047
340;-4.799994;3.9298728
341;-4.1263103;3.9298728
342;-3.452627;3.9298728
343;-2.7789433;3.9298728
344;-2.1052597;3.9298728
345;-1.4315761;3.9298728
346;-0.75789255;3.9298728
347;-0.08420895;3.9298728
348;0.5894746;3.9298728
349;1.2631582;3.9298728
350;1.9368418;3.9298728
351;2.6105254;3.9298728
352;3.284209;3.9298728
353;3.9578924;3.9298728
354;4.631576;3.9298728
355;5.3052597;3.9298728
356;5.9789433;3.9298728
357;6.652627;3.9298728
358;7.3263106;3.9298728
359;7.999994;3.9298728
360;-4.799994;4.1536984
361;-4.1263103;4.1536984
362;-3.452627;4.1536984
363;-2.7789433;4.1536984
364;-2.1052597;4.1536984
365;-1.4315761;4.1536984
366;-0.75789255;4.1536984
367;-0.08420895;4.1536984
368;0.5894746;4.1536984
369;1.2631582;4.1536984
370;1.9368418;4.1536984
371;2.6105254;4.1536984
372;3.284209;4.1536984
373;3.9578924;4.1536984
374;4.631576;4.1536984
375;5.3052597;4.1536984
376;5.9789433;4.1536984
377;6.652627;4.1536984
378;7.3263106;4.1536984
379;7.999994;4.1536984
380;-4.799994;4.377524
381;-4.1263103;4.377524
382;-3.452627;4.377524
383;-2.7789433;4.377524
384;-2.1052597;4.377524
385;-1.4315761;4.377524
386;-0.75789255;4.377524
387;-0.08420895;4.377524
388;0.5894746;4.377524
389;1.2631582;4.377524
390;1.9368418;4.377524
391;2.6105254;4.377524
392;3.284209;4.377524
393;3.9578924;4.377524
394;4.631576;4.377524
395;5.3052597;4.377524
396;5.9789433;4.377524
397;6.652627;4.377524
398;7.3263106;4.377524
399;7.999994;4.377524
