$T_{umg}$ in °C;$P_{el}$ in kW;$\dot{Q}_{heiz}$ in kW
-4.199988;2.76750176;19.56894157569402
-4.799994;3.068736069;21.449800722491013
-4.500006;2.887076548;20.317786604198822
-3.799994;2.928785521;20.988746842249707
-3.199988;2.790970437;20.22746378070438
-0.9;2.941951171;22.53101894684667
0.3999878;2.63423821;20.830402764605896
0.7000061;2.413073967;19.20446943924761
-0.2999939;2.604519176;20.261201456290298
0.1;2.494906291;19.595988660653738
0.3999878;2.544326391;20.135910638940864
0.6;2.589400461;20.562288250904107
0.8999878;2.506345119;20.101245886218724
1.4999939;2.425435101;19.699881978744155
1.6;2.394355451;19.537581141876004
1.3000122;2.405740777;19.5104231125162
1.1;2.040924804;16.409896273497388
1.2000061;2.003875772;16.161710045407943
1.1;2.124953648;17.108143027301754
1.2000061;2.328254873;18.780990486917677
1.2000061;2.426549884;19.553373731378677
1.2000061;2.421229768;19.54282025949612
1.1;2.222123029;17.86712992572548
0.9999939;2.326804378;18.692514848612706
0.8999878;2.352140239;18.819782515315325
0.7000061;2.128943733;16.99483668810035
0.9999939;2.262760676;18.153139934153273
1.6;2.178571854;17.759698769675886
2.4999938;2.072971722;17.326963344347394
2.800012;2.079574245;17.481266713671317
3.4999938;2.029901892;17.419992198692082
3.6;1.786525949;15.395664855085649
3.8999877;1.809164423;15.661469335308775
3.9999938;1.797870085;15.642662677170646
3.9999938;1.830835813;15.930923655884968
4.1;1.787020375;15.603531457435546
3.9999938;1.790735611;15.552170985782439
3.9999938;1.815484624;15.765782867738315
3.9999938;1.769911823;15.406210831312338
4.1;1.738028196;15.166483693464663
4.1;1.745518072;15.230886857006919
4.3999877;1.675616581;14.74623096418994
4.499994;1.574732767;13.87731450556843
4.700006;1.686471727;14.96551507394322
5.1;1.63897555;14.712027449465973
5.3999877;1.672141307;15.119552971639472
5.499994;1.520995369;13.843101490222894
5.200006;1.415072995;12.743102658418234
4.999994;1.361889184;12.161188930055946
4.6;1.477390824;13.082197072172676
4.3999877;1.609126695;14.134940366595453
4.300012;1.719041349;15.094676692074849
