;TDryBul;HDirNor;oveHeaPumY_u;reaTZon_y;delta_reaTZon_y
2960;308.31116;191.47012;0.6666667;292.50903;56.67073049319695
2961;308.31116;191.47012;0.6666667;294.10223;56.9759132893371
2962;308.31116;191.47012;0.6666667;295.69547;57.28110193121905
2963;308.31116;191.47012;0.6666667;297.28867;57.5862847273592
2964;308.31116;191.47012;0.6666667;298.88187;57.89146752349936
2965;308.31116;191.47012;0.6666667;300.47507;58.19665031963951
2966;308.31116;191.47012;0.6666667;302.06827;58.50183311577966
2967;308.31116;191.47012;0.6666667;303.66147;58.80701591191982
2968;308.31116;191.47012;0.6666667;305.2547;59.11220455380177
2969;308.31116;191.47012;0.6666667;306.8479;59.41738734994192
2970;308.31116;191.47012;0.7777778;292.50903;56.67076454710907
2971;308.31116;191.47012;0.7777778;294.10223;56.975947343249224
2972;308.31116;191.47012;0.7777778;295.69547;57.28113598513117
2973;308.31116;191.47012;0.7777778;297.28867;57.58631878127133
2974;308.31116;191.47012;0.7777778;298.88187;57.89150157741148
2975;308.31116;191.47012;0.7777778;300.47507;58.19668437355163
2976;308.31116;191.47012;0.7777778;302.06827;58.50186716969179
2977;308.31116;191.47012;0.7777778;303.66147;58.80704996583194
2978;308.31116;191.47012;0.7777778;305.2547;59.11223860771389
2979;308.31116;191.47012;0.7777778;306.8479;59.41742140385405
2980;308.31116;191.47012;0.8888889;292.50903;56.6707986010212
2981;308.31116;191.47012;0.8888889;294.10223;56.975981397161355
2982;308.31116;191.47012;0.8888889;295.69547;57.2811700390433
2983;308.31116;191.47012;0.8888889;297.28867;57.586352835183455
2984;308.31116;191.47012;0.8888889;298.88187;57.89153563132361
2985;308.31116;191.47012;0.8888889;300.47507;58.196718427463765
2986;308.31116;191.47012;0.8888889;302.06827;58.501901223603916
2987;308.31116;191.47012;0.8888889;303.66147;58.807084019744075
2988;308.31116;191.47012;0.8888889;305.2547;59.11227266162602
2989;308.31116;191.47012;0.8888889;306.8479;59.417455457766174
2990;308.31116;191.47012;1.0;292.50903;56.67083265493333
2991;308.31116;191.47012;1.0;294.10223;56.97601545107348
2992;308.31116;191.47012;1.0;295.69547;57.28120409295543
2993;308.31116;191.47012;1.0;297.28867;57.586386889095586
2994;308.31116;191.47012;1.0;298.88187;57.89156968523574
2995;308.31116;191.47012;1.0;300.47507;58.19675248137589
2996;308.31116;191.47012;1.0;302.06827;58.50193527751605
2997;308.31116;191.47012;1.0;303.66147;58.8071180736562
2998;308.31116;191.47012;1.0;305.2547;59.112306715538146
2999;308.31116;191.47012;1.0;306.8479;59.4174895116783
3000;264.05;287.2052;0.0;292.50903;55.9043336447827
3001;264.05;287.2052;0.0;294.10223;56.209516440922854
3002;264.05;287.2052;0.0;295.69547;56.5147050828048
3003;264.05;287.2052;0.0;297.28867;56.81988787894496
3004;264.05;287.2052;0.0;298.88187;57.12507067508511
3005;264.05;287.2052;0.0;300.47507;57.430253471225264
3006;264.05;287.2052;0.0;302.06827;57.73543626736542
3007;264.05;287.2052;0.0;303.66147;58.040619063505574
3008;264.05;287.2052;0.0;305.2547;58.34580770538752
3009;264.05;287.2052;0.0;306.8479;58.65099050152767
3010;264.05;287.2052;0.11111111;292.50903;55.904367698697115
3011;264.05;287.2052;0.11111111;294.10223;56.20955049483727
3012;264.05;287.2052;0.11111111;295.69547;56.51473913671922
3013;264.05;287.2052;0.11111111;297.28867;56.81992193285937
3014;264.05;287.2052;0.11111111;298.88187;57.125104728999524
3015;264.05;287.2052;0.11111111;300.47507;57.43028752513968
3016;264.05;287.2052;0.11111111;302.06827;57.735470321279834
3017;264.05;287.2052;0.11111111;303.66147;58.040653117419986
3018;264.05;287.2052;0.11111111;305.2547;58.34584175930193
3019;264.05;287.2052;0.11111111;306.8479;58.65102455544209
3020;264.05;287.2052;0.22222222;292.50903;55.90440175261153
3021;264.05;287.2052;0.22222222;294.10223;56.20958454875168
3022;264.05;287.2052;0.22222222;295.69547;56.514773190633626
3023;264.05;287.2052;0.22222222;297.28867;56.81995598677378
3024;264.05;287.2052;0.22222222;298.88187;57.125138782913936
3025;264.05;287.2052;0.22222222;300.47507;57.43032157905409
3026;264.05;287.2052;0.22222222;302.06827;57.73550437519424
3027;264.05;287.2052;0.22222222;303.66147;58.0406871713344
3028;264.05;287.2052;0.22222222;305.2547;58.345875813216345
3029;264.05;287.2052;0.22222222;306.8479;58.6510586093565
3030;264.05;287.2052;0.33333334;292.50903;55.90443580652822
3031;264.05;287.2052;0.33333334;294.10223;56.20961860266837
3032;264.05;287.2052;0.33333334;295.69547;56.51480724455032
3033;264.05;287.2052;0.33333334;297.28867;56.81999004069048
3034;264.05;287.2052;0.33333334;298.88187;57.12517283683063
3035;264.05;287.2052;0.33333334;300.47507;57.43035563297078
3036;264.05;287.2052;0.33333334;302.06827;57.73553842911094
3037;264.05;287.2052;0.33333334;303.66147;58.04072122525109
3038;264.05;287.2052;0.33333334;305.2547;58.34590986713304
3039;264.05;287.2052;0.33333334;306.8479;58.65109266327319
3040;264.05;287.2052;0.44444445;292.50903;55.904469860440344
3041;264.05;287.2052;0.44444445;294.10223;56.2096526565805
3042;264.05;287.2052;0.44444445;295.69547;56.51484129846245
3043;264.05;287.2052;0.44444445;297.28867;56.8200240946026
3044;264.05;287.2052;0.44444445;298.88187;57.12520689074275
3045;264.05;287.2052;0.44444445;300.47507;57.43038968688291
3046;264.05;287.2052;0.44444445;302.06827;57.73557248302306
3047;264.05;287.2052;0.44444445;303.66147;58.040755279163214
3048;264.05;287.2052;0.44444445;305.2547;58.34594392104516
3049;264.05;287.2052;0.44444445;306.8479;58.65112671718532
3050;264.05;287.2052;0.5555556;292.50903;55.904503914361605
3051;264.05;287.2052;0.5555556;294.10223;56.20968671050176
3052;264.05;287.2052;0.5555556;295.69547;56.51487535238371
3053;264.05;287.2052;0.5555556;297.28867;56.82005814852386
3054;264.05;287.2052;0.5555556;298.88187;57.125240944664014
3055;264.05;287.2052;0.5555556;300.47507;57.43042374080417
3056;264.05;287.2052;0.5555556;302.06827;57.735606536944324
3057;264.05;287.2052;0.5555556;303.66147;58.040789333084476
3058;264.05;287.2052;0.5555556;305.2547;58.345977974966424
3059;264.05;287.2052;0.5555556;306.8479;58.65116077110658
3060;264.05;287.2052;0.6666667;292.50903;55.904537968273736
3061;264.05;287.2052;0.6666667;294.10223;56.20972076441389
3062;264.05;287.2052;0.6666667;295.69547;56.514909406295835
3063;264.05;287.2052;0.6666667;297.28867;56.82009220243599
3064;264.05;287.2052;0.6666667;298.88187;57.125274998576145
3065;264.05;287.2052;0.6666667;300.47507;57.4304577947163
3066;264.05;287.2052;0.6666667;302.06827;57.73564059085645
3067;264.05;287.2052;0.6666667;303.66147;58.04082338699661
3068;264.05;287.2052;0.6666667;305.2547;58.346012028878555
3069;264.05;287.2052;0.6666667;306.8479;58.651194825018706
3070;264.05;287.2052;0.7777778;292.50903;55.90457202218586
3071;264.05;287.2052;0.7777778;294.10223;56.20975481832601
3072;264.05;287.2052;0.7777778;295.69547;56.51494346020796
3073;264.05;287.2052;0.7777778;297.28867;56.82012625634812
3074;264.05;287.2052;0.7777778;298.88187;57.12530905248827
3075;264.05;287.2052;0.7777778;300.47507;57.43049184862842
3076;264.05;287.2052;0.7777778;302.06827;57.73567464476858
3077;264.05;287.2052;0.7777778;303.66147;58.04085744090873
3078;264.05;287.2052;0.7777778;305.2547;58.34604608279068
3079;264.05;287.2052;0.7777778;306.8479;58.65122887893084
3080;264.05;287.2052;0.8888889;292.50903;55.904606076097984
3081;264.05;287.2052;0.8888889;294.10223;56.20978887223814
3082;264.05;287.2052;0.8888889;295.69547;56.51497751412009
3083;264.05;287.2052;0.8888889;297.28867;56.82016031026024
3084;264.05;287.2052;0.8888889;298.88187;57.1253431064004
3085;264.05;287.2052;0.8888889;300.47507;57.43052590254055
3086;264.05;287.2052;0.8888889;302.06827;57.7357086986807
3087;264.05;287.2052;0.8888889;303.66147;58.04089149482086
3088;264.05;287.2052;0.8888889;305.2547;58.34608013670281
3089;264.05;287.2052;0.8888889;306.8479;58.65126293284296
3090;264.05;287.2052;1.0;292.50903;55.904640130010115
3091;264.05;287.2052;1.0;294.10223;56.20982292615027
3092;264.05;287.2052;1.0;295.69547;56.515011568032214
3093;264.05;287.2052;1.0;297.28867;56.82019436417237
3094;264.05;287.2052;1.0;298.88187;57.125377160312524
3095;264.05;287.2052;1.0;300.47507;57.430559956452676
3096;264.05;287.2052;1.0;302.06827;57.735742752592834
3097;264.05;287.2052;1.0;303.66147;58.040925548732986
3098;264.05;287.2052;1.0;305.2547;58.346114190614934
3099;264.05;287.2052;1.0;306.8479;58.651296986755085
3100;268.9679;287.2052;0.0;292.50903;55.93124911021797
3101;268.9679;287.2052;0.0;294.10223;56.23643190635812
3102;268.9679;287.2052;0.0;295.69547;56.541620548240076
3103;268.9679;287.2052;0.0;297.28867;56.84680334438023
3104;268.9679;287.2052;0.0;298.88187;57.15198614052038
3105;268.9679;287.2052;0.0;300.47507;57.45716893666054
3106;268.9679;287.2052;0.0;302.06827;57.76235173280069
3107;268.9679;287.2052;0.0;303.66147;58.06753452894084
3108;268.9679;287.2052;0.0;305.2547;58.37272317082279
3109;268.9679;287.2052;0.0;306.8479;58.677905966962946
3110;268.9679;287.2052;0.11111111;292.50903;55.931283164132374
3111;268.9679;287.2052;0.11111111;294.10223;56.23646596027253
3112;268.9679;287.2052;0.11111111;295.69547;56.54165460215448
3113;268.9679;287.2052;0.11111111;297.28867;56.84683739829463
3114;268.9679;287.2052;0.11111111;298.88187;57.15202019443479
3115;268.9679;287.2052;0.11111111;300.47507;57.45720299057494
3116;268.9679;287.2052;0.11111111;302.06827;57.76238578671509
3117;268.9679;287.2052;0.11111111;303.66147;58.06756858285525
3118;268.9679;287.2052;0.11111111;305.2547;58.3727572247372
3119;268.9679;287.2052;0.11111111;306.8479;58.67794002087735
3120;268.9679;287.2052;0.22222222;292.50903;55.93131721804679
3121;268.9679;287.2052;0.22222222;294.10223;56.236500014186944
3122;268.9679;287.2052;0.22222222;295.69547;56.54168865606889
3123;268.9679;287.2052;0.22222222;297.28867;56.84687145220905
3124;268.9679;287.2052;0.22222222;298.88187;57.1520542483492
3125;268.9679;287.2052;0.22222222;300.47507;57.457237044489354
3126;268.9679;287.2052;0.22222222;302.06827;57.76241984062951
3127;268.9679;287.2052;0.22222222;303.66147;58.067602636769664
3128;268.9679;287.2052;0.22222222;305.2547;58.37279127865161
3129;268.9679;287.2052;0.22222222;306.8479;58.67797407479176
3130;268.9679;287.2052;0.33333334;292.50903;55.931351271963486
3131;268.9679;287.2052;0.33333334;294.10223;56.23653406810364
3132;268.9679;287.2052;0.33333334;295.69547;56.541722709985585
3133;268.9679;287.2052;0.33333334;297.28867;56.846905506125744
3134;268.9679;287.2052;0.33333334;298.88187;57.152088302265895
3135;268.9679;287.2052;0.33333334;300.47507;57.457271098406046
3136;268.9679;287.2052;0.33333334;302.06827;57.762453894546205
3137;268.9679;287.2052;0.33333334;303.66147;58.067636690686356
3138;268.9679;287.2052;0.33333334;305.2547;58.372825332568304
3139;268.9679;287.2052;0.33333334;306.8479;58.67800812870846
3140;268.9679;287.2052;0.44444445;292.50903;55.93138532587561
3141;268.9679;287.2052;0.44444445;294.10223;56.23656812201577
3142;268.9679;287.2052;0.44444445;295.69547;56.541756763897716
3143;268.9679;287.2052;0.44444445;297.28867;56.84693956003787
3144;268.9679;287.2052;0.44444445;298.88187;57.152122356178026
3145;268.9679;287.2052;0.44444445;300.47507;57.45730515231818
3146;268.9679;287.2052;0.44444445;302.06827;57.76248794845833
3147;268.9679;287.2052;0.44444445;303.66147;58.06767074459849
3148;268.9679;287.2052;0.44444445;305.2547;58.372859386480435
3149;268.9679;287.2052;0.44444445;306.8479;58.67804218262059
3150;268.9679;287.2052;0.5555556;292.50903;55.93141937979687
3151;268.9679;287.2052;0.5555556;294.10223;56.23660217593703
3152;268.9679;287.2052;0.5555556;295.69547;56.54179081781898
3153;268.9679;287.2052;0.5555556;297.28867;56.84697361395913
3154;268.9679;287.2052;0.5555556;298.88187;57.15215641009928
3155;268.9679;287.2052;0.5555556;300.47507;57.45733920623944
3156;268.9679;287.2052;0.5555556;302.06827;57.76252200237959
3157;268.9679;287.2052;0.5555556;303.66147;58.06770479851974
3158;268.9679;287.2052;0.5555556;305.2547;58.3728934404017
3159;268.9679;287.2052;0.5555556;306.8479;58.67807623654185
3160;268.9679;287.2052;0.6666667;292.50903;55.931453433709
3161;268.9679;287.2052;0.6666667;294.10223;56.236636229849154
3162;268.9679;287.2052;0.6666667;295.69547;56.5418248717311
3163;268.9679;287.2052;0.6666667;297.28867;56.84700766787126
3164;268.9679;287.2052;0.6666667;298.88187;57.15219046401141
3165;268.9679;287.2052;0.6666667;300.47507;57.45737326015156
3166;268.9679;287.2052;0.6666667;302.06827;57.76255605629172
3167;268.9679;287.2052;0.6666667;303.66147;58.06773885243187
3168;268.9679;287.2052;0.6666667;305.2547;58.37292749431382
3169;268.9679;287.2052;0.6666667;306.8479;58.67811029045397
3170;268.9679;287.2052;0.7777778;292.50903;55.931487487621126
3171;268.9679;287.2052;0.7777778;294.10223;56.236670283761285
3172;268.9679;287.2052;0.7777778;295.69547;56.54185892564323
3173;268.9679;287.2052;0.7777778;297.28867;56.847041721783384
3174;268.9679;287.2052;0.7777778;298.88187;57.152224517923536
3175;268.9679;287.2052;0.7777778;300.47507;57.457407314063694
3176;268.9679;287.2052;0.7777778;302.06827;57.762590110203845
3177;268.9679;287.2052;0.7777778;303.66147;58.067772906344
3178;268.9679;287.2052;0.7777778;305.2547;58.372961548225945
3179;268.9679;287.2052;0.7777778;306.8479;58.6781443443661
3180;268.9679;287.2052;0.8888889;292.50903;55.93152154153326
3181;268.9679;287.2052;0.8888889;294.10223;56.23670433767341
3182;268.9679;287.2052;0.8888889;295.69547;56.54189297955536
3183;268.9679;287.2052;0.8888889;297.28867;56.84707577569551
3184;268.9679;287.2052;0.8888889;298.88187;57.15225857183567
3185;268.9679;287.2052;0.8888889;300.47507;57.45744136797582
3186;268.9679;287.2052;0.8888889;302.06827;57.76262416411597
3187;268.9679;287.2052;0.8888889;303.66147;58.06780696025613
3188;268.9679;287.2052;0.8888889;305.2547;58.372995602138076
3189;268.9679;287.2052;0.8888889;306.8479;58.67817839827823
3190;268.9679;287.2052;1.0;292.50903;55.93155559544538
3191;268.9679;287.2052;1.0;294.10223;56.23673839158553
3192;268.9679;287.2052;1.0;295.69547;56.54192703346749
3193;268.9679;287.2052;1.0;297.28867;56.84710982960764
3194;268.9679;287.2052;1.0;298.88187;57.15229262574779
3195;268.9679;287.2052;1.0;300.47507;57.45747542188795
3196;268.9679;287.2052;1.0;302.06827;57.7626582180281
3197;268.9679;287.2052;1.0;303.66147;58.06784101416825
3198;268.9679;287.2052;1.0;305.2547;58.3730296560502
3199;268.9679;287.2052;1.0;306.8479;58.67821245219036
3200;273.8858;287.2052;0.0;292.50903;55.95816457565324
3201;273.8858;287.2052;0.0;294.10223;56.2633473717934
3202;273.8858;287.2052;0.0;295.69547;56.56853601367535
3203;273.8858;287.2052;0.0;297.28867;56.8737188098155
3204;273.8858;287.2052;0.0;298.88187;57.17890160595565
3205;273.8858;287.2052;0.0;300.47507;57.48408440209581
3206;273.8858;287.2052;0.0;302.06827;57.78926719823596
3207;273.8858;287.2052;0.0;303.66147;58.09444999437611
3208;273.8858;287.2052;0.0;305.2547;58.39963863625806
3209;273.8858;287.2052;0.0;306.8479;58.70482143239822
3210;273.8858;287.2052;0.11111111;292.50903;55.95819862956766
3211;273.8858;287.2052;0.11111111;294.10223;56.26338142570781
3212;273.8858;287.2052;0.11111111;295.69547;56.56857006758976
3213;273.8858;287.2052;0.11111111;297.28867;56.87375286372991
