t_amb;rad_dir;u_hp;t_room;Change(T Room)
272.15;0.0;0.9788792084901768;293.88626243807914;0.07567890768638894
272.25;0.0;0.9441612485266768;293.9619413457655;0.07547669458664132
272.35;0.0;0.8940706793370762;294.0374180403522;0.0741120969680571
272.45;0.0;0.8306344941281469;294.11153013732024;0.07073830478306163
272.54999999999995;0.0;0.7575671954341084;294.1822684421033;0.06469200502102294
272.65;0.0;0.6801333145710631;294.2469604471243;0.05587534811563191
272.771875;0.0;0.604319539072818;294.30283579524;0.04518907531769655
272.91666666666663;0.0;0.5351497494362915;294.34802487055765;0.03383835313051505
273.053125;0.0;0.4759780774303171;294.3818632236882;0.022813577775201828
273.15;0.0;1.0;294.4046768014634;0.08094993317131047
273.1590625;0.0;1.0;294.4856267346347;0.08026404060862273
273.0908333333333;0.0;1.0;294.5658907752433;0.07879617986204568
